date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,翻訳センター,2483,,,,24830
,出前館,2484,,,,24840
,ティア,2485,,,,24850
,ＪＴＰ,2488,,,,24880
,キッズスター,248A,,,,248A0
,イーサポートリンク,2493,,,,24930
,ユナイテッド,2497,,,,24970
,オリエンタルコンサルタンツＨＤ,2498,,,,24980
,日本和装ＨＬＤＧ,2499,,,,24990
,ＥＴＳグループ,253A,,,,253A0
,ＡＩ　フュージョンキャピタルグ,254A,,,,254A0
,ジーエルテクノＨＬＤＧ,255A,,,,255A0
,北海道コカ・コーラボトリング,2573,,,,25730
,フルッタフルッタ,2586,,,,25860
,プレミアムウォーターＨＬＤＧ,2588,,,,25880
,ユニカフェ,2597,,,,25970
,オルツ,260A,,,,260A0
,かどや製油,2612,,,,26120
,日水コン,261A,,,,261A0
,Ｓｃｈｏｏ,264A,,,,264A0
,まんだらけ,2652,,,,26520
,イオン九州,2653,,,,26530
,アスモ,2654,,,,26540
,ベクターＨＬＤＧ,2656,,,,26560
,Ｈｍｃｏｍｍ,265A,,,,265A0
,オートウェーブ,2666,,,,26660
,イメージワン,2667,,,,26670
,タビオ,2668,,,,26680
,カネ美食品,2669,,,,26690
,夢みつけ隊,2673,,,,26730
,魚喜,2683,,,,26830
,ジーフット,2686,,,,26860
,シー・ヴイ・エス・ベイエリア,2687,,,,26870
,オルバヘルスケアＨＬＤＧ,2689,,,,26890
,ＹＫＴ,2693,,,,26930
,焼肉坂井ＨＬＤＧ,2694,,,,26940
,Ｓａｐｅｅｔ,269A,,,,269A0
,木徳神糧,2700,,,,27000
,日本マクドナルドＨＬＤＧ,2702,,,,27020
,大戸屋ＨＬＤＧ,2705,,,,27050
,久世,2708,,,,27080
,ジェイＨＬＤＧ,2721,,,,27210
,ＩＫＨＬＤＧ,2722,,,,27220
,ワッツ,2735,,,,27350
,フェスタリアＨＬＤＧ,2736,,,,27360
,ピクセルカンパニーズ,2743,,,,27430
,北雄ラッキー,2747,,,,27470
,ガーデン,274A,,,,274A0
,石光商事,2750,,,,27500
,テンポスＨＬＤＧ,2751,,,,27510
,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ,2762,,,,27620
,エフティグループ,2763,,,,27630
,ひらまつ,2764,,,,27640
,ヴィレッジヴァンガードコーポレ,2769,,,,27690
,ククレブ・アドバイザーズ,276A,,,,276A0
,新都ＨＬＤＧ,2776,,,,27760
,パレモＨＬＤＧ,2778,,,,27780
,グロービング,277A,,,,277A0
,コメ兵ＨＬＤＧ,2780,,,,27800
,セリア,2782,,,,27820
,アップルインターナショナル,2788,,,,27880
,カルラ,2789,,,,27890
,Ｔｅｒｒａ　Ｄｒｏｎｅ,278A,,,,278A0
,ナフコ,2790,,,,27900
,日本プリメックス,2795,,,,27950
,ファーマライズホールディングス,2796,,,,27960
,ワイズテーブルコーポレーション,2798,,,,27980
,エスビー食品,2805,,,,28050
,ユタカフーズ,2806,,,,28060
,ＴＭＨ,280A,,,,280A0
,和弘食品,2813,,,,28130
,佐藤食品工業,2814,,,,28140
,ダイショー,2816,,,,28160
,ピエトロ,2818,,,,28180
,インフォメティス,281A,,,,281A0
,やまみ,2820,,,,28200
,アヲハタ,2830,,,,28300
,はごろもフーズ,2831,,,,28310
,ユカリア,286A,,,,286A0
,セイヒョー,2872,,,,28720
,デルソーレ,2876,,,,28760
,日東ベスト,2877,,,,28770
,黒田グループ,287A,,,,287A0
,大冷,2883,,,,28830
,ラクサス・テクノロジーズ,288A,,,,288A0
,日本食品化工,2892,,,,28920
,石井食品,2894,,,,28940
,ウェルディッシュ,2901,,,,29010
,シノブフーズ,2903,,,,29030
,一正蒲鉾,2904,,,,29040
,あじかん,2907,,,,29070
,Ｓｙｎｓｐｅｃｔｉｖｅ,290A,,,,290A0
,旭松食品,2911,,,,29110
,仙波糖化工業,2916,,,,29160
,大森屋,2917,,,,29170
,リスキル,291A,,,,291A0
,サトウ食品,2923,,,,29230
,イフジ産業,2924,,,,29240
,篠崎屋,2926,,,,29260
,ＡＦＣ―ＨＤアムスライフ,2927,,,,29270
,ＳＴＩフードＨＬＤＧ,2932,,,,29320
,ジェイフロンティア,2934,,,,29340
,ベースフード,2936,,,,29360
,サンクゼール,2937,,,,29370
,オカムラ食品工業,2938,,,,29380
,日本調理機,2961,,,,29610
,テクニスコ,2962,,,,29620
,令和アカウンティング・ＨＬＤＧ,296A,,,,296A0
,グッドライフカンパニー,2970,,,,29700
,ツクルバ,2978,,,,29780
,アルピコＨＬＤＧ,297A,,,,297A0
,ランディックス,2981,,,,29810
,ＡＤワークスグループ,2982,,,,29820
,アールプランナー,2983,,,,29830
,ヤマイチエステート,2984,,,,29840
,ＬＡ　ＨＬＤＧ,2986,,,,29860
,ＧＶＡ　ＴＥＣＨ,298A,,,,298A0
,ランドネット,2991,,,,29910
,長栄,2993,,,,29930
,ストレージ王,2997,,,,29970
,クリアル,2998,,,,29980
,ホームポジション,2999,,,,29990
,ｄｅｌｙ,299A,,,,299A0
,神栄,3004,,,,30040
,ＭＩＣ,300A,,,,300A0
,ポラリス・ＨＬＤＧ,3010,,,,30100
,バナーズ,3011,,,,30110
,アプライド,3020,,,,30200
,パシフィックネット,3021,,,,30210
,クリエイト,3024,,,,30240
,ビースタイルＨＬＤＧ,302A,,,,302A0
,ハブ,3030,,,,30300
,ケイティケイ,3035,,,,30350
,ｖｉｓｕｍｏ,303A,,,,303A0
,ビューティカダンＨＬＤＧ,3041,,,,30410
,セキュアヴェイル,3042,,,,30420
,カワサキ,3045,,,,30450
,フォルシア,304A,,,,304A0
,ハイパー,3054,,,,30540
,三洋堂ＨＬＤＧ,3058,,,,30580
,ヒラキ,3059,,,,30590
,ジェイグループＨＬＤＧ,3063,,,,30630
,ライフフーズ,3065,,,,30650
,東京一番フーズ,3067,,,,30670
,ＷＤＩ,3068,,,,30680
,ＪＦＬＡ　ＨＬＤＧ,3069,,,,30690
,ジェリービーンズグループ,3070,,,,30700
,ストリーム,3071,,,,30710
,ＤＤグループ,3073,,,,30730
,銚子丸,3075,,,,30750
,ホリイフードサービス,3077,,,,30770
,ディーブイエックス,3079,,,,30790
,ジェーソン,3080,,,,30800
,きちりＨＬＤＧ,3082,,,,30820
,スターシーズ,3083,,,,30830
,テクノアルファ,3089,,,,30890
,スーパーバリュー,3094,,,,30940
,オーシャンシステム,3096,,,,30960
,オーミケンシ,3111,,,,31110
,ＵＮＩＶＡ・ＯａｋＨＬＤＧ,3113,,,,31130
,マーチャント・バンカーズ,3121,,,,31210
,サイボー,3123,,,,31230
,シンデン・ハイテックス,3131,,,,31310
,海帆,3133,,,,31330
,マーケットエンタープライズ,3135,,,,31350
,ファンデリー,3137,,,,31370
,富士山マガジンサービス,3138,,,,31380
,ＢＲＵＮＯ,3140,,,,31400
,オーウイル,3143,,,,31430
,ジオリーブグループ,3157,,,,31570
,丸善ＣＨＩ　ＨＬＤＧ,3159,,,,31590
,大光,3160,,,,31600
,アゼアス,3161,,,,31610
